Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-5.000000E+0	-1.000006E-1	2.000012E-2
2	 	-4.950000E+0	-1.000006E-1	2.020214E-2
3	 	-4.900000E+0	-1.000007E-1	2.040831E-2
4	 	-4.850000E+0	-1.000007E-1	2.061870E-2
5	 	-4.800000E+0	-1.000007E-1	2.083348E-2
6	 	-4.750000E+0	-1.000010E-1	2.105284E-2
7	 	-4.700000E+0	-1.000007E-1	2.127674E-2
8	 	-4.650000E+0	-1.000008E-1	2.150555E-2
9	 	-4.600000E+0	-1.000006E-1	2.173926E-2
10	 	-4.550000E+0	-1.000005E-1	2.197813E-2
11	 	-4.500000E+0	-9.761431E-2	2.169207E-2
12	 	-4.450000E+0	-9.485868E-2	2.131656E-2
13	 	-4.400000E+0	-9.322383E-2	2.118723E-2
14	 	-4.350000E+0	-9.180692E-2	2.110504E-2
15	 	-4.300000E+0	-8.932295E-2	2.077278E-2
16	 	-4.250000E+0	-8.697112E-2	2.046379E-2
17	 	-4.200000E+0	-8.582662E-2	2.043491E-2
18	 	-4.150000E+0	-8.431867E-2	2.031775E-2
19	 	-4.100000E+0	-8.529697E-2	2.080414E-2
20	 	-4.050000E+0	-8.245507E-2	2.035928E-2
21	 	-4.000000E+0	-8.025277E-2	2.006319E-2
22	 	-3.950000E+0	-7.682517E-2	1.944941E-2
23	 	-3.900000E+0	-7.502864E-2	1.923811E-2
24	 	-3.850000E+0	-7.283017E-2	1.891693E-2
25	 	-3.800000E+0	-7.056689E-2	1.857023E-2
26	 	-3.750000E+0	-6.807610E-2	1.815363E-2
27	 	-3.700000E+0	-6.589069E-2	1.780829E-2
28	 	-3.650000E+0	-6.380548E-2	1.748095E-2
29	 	-3.600000E+0	-6.283694E-2	1.745471E-2
30	 	-3.550000E+0	-6.417871E-2	1.807851E-2
31	 	-3.500000E+0	-6.216963E-2	1.776275E-2
32	 	-3.450000E+0	-6.005422E-2	1.740702E-2
33	 	-3.400000E+0	-5.756636E-2	1.693128E-2
34	 	-3.350000E+0	-5.529808E-2	1.650689E-2
35	 	-3.300000E+0	-5.381671E-2	1.630809E-2
36	 	-3.250000E+0	-5.174559E-2	1.592172E-2
37	 	-3.200000E+0	-4.987634E-2	1.558636E-2
38	 	-3.150000E+0	-4.842028E-2	1.537152E-2
39	 	-3.100000E+0	-4.704683E-2	1.517640E-2
40	 	-3.050000E+0	-4.606216E-2	1.510235E-2
41	 	-3.000000E+0	-4.524546E-2	1.508182E-2
42	 	-2.950000E+0	-4.485729E-2	1.520586E-2
43	 	-2.900000E+0	-4.441067E-2	1.531402E-2
44	 	-2.850000E+0	-4.383557E-2	1.538090E-2
45	 	-2.800000E+0	-4.217830E-2	1.506368E-2
46	 	-2.750000E+0	-3.978922E-2	1.446881E-2
47	 	-2.700000E+0	-3.639554E-2	1.347983E-2
48	 	-2.650000E+0	-3.220709E-2	1.215362E-2
49	 	-2.600000E+0	-2.828149E-2	1.087750E-2
50	 	-2.550000E+0	-2.488785E-2	9.759941E-3
51	 	-2.500000E+0	-2.251538E-2	9.006152E-3
52	 	-2.450000E+0	-2.062941E-2	8.420167E-3
53	 	-2.400000E+0	-1.925122E-2	8.021342E-3
54	 	-2.350000E+0	-1.816239E-2	7.728677E-3
55	 	-2.300000E+0	-1.749299E-2	7.605648E-3
56	 	-2.250000E+0	-1.736221E-2	7.716538E-3
57	 	-2.200000E+0	-1.854161E-2	8.428005E-3
58	 	-2.150000E+0	-2.156153E-2	1.002862E-2
59	 	-2.100000E+0	-2.300179E-2	1.095323E-2
60	 	-2.050000E+0	-2.228503E-2	1.087075E-2
61	 	-2.000000E+0	-2.069936E-2	1.034968E-2
62	 	-1.950000E+0	-1.899952E-2	9.743344E-3
63	 	-1.900000E+0	-1.736572E-2	9.139853E-3
64	 	-1.850000E+0	-1.575341E-2	8.515357E-3
65	 	-1.800000E+0	-1.428706E-2	7.937256E-3
66	 	-1.750000E+0	-1.276164E-2	7.292366E-3
67	 	-1.700000E+0	-1.165065E-2	6.853324E-3
68	 	-1.650000E+0	-1.048503E-2	6.354564E-3
69	 	-1.600000E+0	-9.348307E-3	5.842692E-3
70	 	-1.550000E+0	-7.892175E-3	5.091726E-3
71	 	-1.500000E+0	-6.163196E-3	4.108797E-3
72	 	-1.450000E+0	-5.017318E-3	3.460219E-3
73	 	-1.400000E+0	-4.275832E-3	3.054166E-3
74	 	-1.350000E+0	-3.575095E-3	2.648219E-3
75	 	-1.300000E+0	-2.908316E-3	2.237166E-3
76	 	-1.250000E+0	-2.348145E-3	1.878516E-3
77	 	-1.200000E+0	-1.879102E-3	1.565918E-3
78	 	-1.150000E+0	-1.508812E-3	1.312010E-3
79	 	-1.100000E+0	-1.213127E-3	1.102843E-3
80	 	-1.050000E+0	-9.663691E-4	9.203515E-4
81	 	-1.000000E+0	-7.693592E-4	7.693592E-4
82	 	-9.500000E-1	-6.370425E-4	6.705711E-4
83	 	-9.000000E-1	-7.104622E-4	7.894024E-4
84	 	-8.500000E-1	-4.656507E-4	5.478244E-4
85	 	-8.000000E-1	-2.909909E-4	3.637386E-4
86	 	-7.500000E-1	-1.575390E-4	2.100520E-4
87	 	-7.000000E-1	4.416614E-5	-6.309449E-5
88	 	-6.500000E-1	5.701163E-4	-8.771020E-4
89	 	-6.000000E-1	9.267099E-4	-1.544516E-3
90	 	-5.500000E-1	1.230809E-3	-2.237835E-3
91	 	-5.000000E-1	1.298050E-3	-2.596100E-3
92	 	-4.500000E-1	1.486167E-3	-3.302593E-3
93	 	-4.000000E-1	1.987377E-3	-4.968442E-3
94	 	-3.500000E-1	2.641520E-3	-7.547200E-3
95	 	-3.000000E-1	3.263765E-3	-1.087922E-2
96	 	-2.500000E-1	3.782584E-3	-1.513034E-2
97	 	-2.000000E-1	4.221282E-3	-2.110641E-2
98	 	-1.500000E-1	4.616753E-3	-3.077835E-2
99	 	-1.000000E-1	5.008817E-3	-5.008817E-2
100	 	-5.000000E-2	5.386617E-3	-1.077323E-1
101	 	-9.395262E-15	5.644182E-3	-6.007477E+11
102	 	5.000000E-2	5.862142E-3	1.172428E-1
103	 	1.000000E-1	6.079647E-3	6.079647E-2
104	 	1.500000E-1	6.383140E-3	4.255427E-2
105	 	2.000000E-1	6.718763E-3	3.359382E-2
106	 	2.500000E-1	6.938805E-3	2.775522E-2
107	 	3.000000E-1	7.276105E-3	2.425368E-2
108	 	3.500000E-1	7.611052E-3	2.174586E-2
109	 	4.000000E-1	8.103431E-3	2.025858E-2
110	 	4.500000E-1	8.630441E-3	1.917876E-2
111	 	5.000000E-1	9.216137E-3	1.843227E-2
112	 	5.500000E-1	9.828685E-3	1.787034E-2
113	 	6.000000E-1	1.046942E-2	1.744903E-2
114	 	6.500000E-1	1.111286E-2	1.709671E-2
115	 	7.000000E-1	1.173389E-2	1.676270E-2
116	 	7.500000E-1	1.238991E-2	1.651988E-2
117	 	8.000000E-1	1.306268E-2	1.632835E-2
118	 	8.500000E-1	1.376815E-2	1.619782E-2
119	 	9.000000E-1	1.442667E-2	1.602963E-2
120	 	9.500000E-1	1.514382E-2	1.594086E-2
121	 	1.000000E+0	1.595305E-2	1.595305E-2
122	 	1.050000E+0	1.675747E-2	1.595950E-2
123	 	1.100000E+0	1.755605E-2	1.596005E-2
124	 	1.150000E+0	1.827746E-2	1.589344E-2
125	 	1.200000E+0	1.893611E-2	1.578009E-2
126	 	1.250000E+0	1.950782E-2	1.560626E-2
127	 	1.300000E+0	2.003854E-2	1.541426E-2
128	 	1.350000E+0	2.044877E-2	1.514724E-2
129	 	1.400000E+0	2.086353E-2	1.490252E-2
130	 	1.450000E+0	2.122504E-2	1.463796E-2
131	 	1.500000E+0	2.161941E-2	1.441294E-2
132	 	1.550000E+0	2.206985E-2	1.423861E-2
133	 	1.600000E+0	2.242211E-2	1.401382E-2
134	 	1.650000E+0	2.277754E-2	1.380457E-2
135	 	1.700000E+0	2.302070E-2	1.354159E-2
136	 	1.750000E+0	2.309406E-2	1.319661E-2
137	 	1.800000E+0	2.307377E-2	1.281876E-2
138	 	1.850000E+0	2.298332E-2	1.242342E-2
139	 	1.900000E+0	2.259618E-2	1.189273E-2
140	 	1.950000E+0	2.227143E-2	1.142125E-2
141	 	2.000000E+0	2.174014E-2	1.087007E-2
142	 	2.050000E+0	2.113116E-2	1.030788E-2
143	 	2.100000E+0	2.043211E-2	9.729576E-3
144	 	2.150000E+0	1.964411E-2	9.136795E-3
145	 	2.200000E+0	1.886513E-2	8.575059E-3
146	 	2.250000E+0	1.811718E-2	8.052080E-3
147	 	2.300000E+0	1.732901E-2	7.534352E-3
148	 	2.350000E+0	1.665847E-2	7.088711E-3
149	 	2.400000E+0	1.612931E-2	6.720546E-3
150	 	2.450000E+0	1.558004E-2	6.359200E-3
151	 	2.500000E+0	1.516528E-2	6.066112E-3
152	 	2.550000E+0	1.487777E-2	5.834420E-3
153	 	2.600000E+0	1.470288E-2	5.654954E-3
154	 	2.650000E+0	1.461337E-2	5.514479E-3
155	 	2.700000E+0	1.462268E-2	5.415807E-3
156	 	2.750000E+0	1.478005E-2	5.374564E-3
157	 	2.800000E+0	1.523461E-2	5.440932E-3
158	 	2.850000E+0	1.572980E-2	5.519228E-3
159	 	2.900000E+0	1.629160E-2	5.617793E-3
160	 	2.950000E+0	1.683143E-2	5.705569E-3
161	 	3.000000E+0	1.741737E-2	5.805790E-3
162	 	3.050000E+0	1.791032E-2	5.872236E-3
163	 	3.100000E+0	1.846021E-2	5.954906E-3
164	 	3.150000E+0	1.902664E-2	6.040203E-3
165	 	3.200000E+0	1.949376E-2	6.091800E-3
166	 	3.250000E+0	2.012315E-2	6.191738E-3
167	 	3.300000E+0	2.070338E-2	6.273752E-3
168	 	3.350000E+0	2.141599E-2	6.392833E-3
169	 	3.400000E+0	2.217751E-2	6.522797E-3
170	 	3.450000E+0	2.268700E-2	6.575942E-3
171	 	3.500000E+0	2.336167E-2	6.674763E-3
172	 	3.550000E+0	2.377722E-2	6.697808E-3
173	 	3.600000E+0	2.413161E-2	6.703225E-3
174	 	3.650000E+0	2.479791E-2	6.793948E-3
175	 	3.700000E+0	2.500669E-2	6.758565E-3
176	 	3.750000E+0	2.538431E-2	6.769149E-3
177	 	3.800000E+0	2.595785E-2	6.831013E-3
178	 	3.850000E+0	2.648456E-2	6.879106E-3
179	 	3.900000E+0	2.697803E-2	6.917444E-3
180	 	3.950000E+0	2.756028E-2	6.977286E-3
181	 	4.000000E+0	2.805560E-2	7.013900E-3
182	 	4.050000E+0	2.835448E-2	7.001106E-3
183	 	4.100000E+0	2.877156E-2	7.017454E-3
184	 	4.150000E+0	2.917565E-2	7.030277E-3
185	 	4.200000E+0	2.946612E-2	7.015743E-3
186	 	4.250000E+0	2.944453E-2	6.928125E-3
187	 	4.300000E+0	2.959055E-2	6.881523E-3
188	 	4.350000E+0	2.993071E-2	6.880623E-3
189	 	4.400000E+0	3.022134E-2	6.868486E-3
190	 	4.450000E+0	3.065047E-2	6.887746E-3
191	 	4.500000E+0	3.116441E-2	6.925424E-3
192	 	4.550000E+0	3.177509E-2	6.983536E-3
193	 	4.600000E+0	3.246493E-2	7.057593E-3
194	 	4.650000E+0	3.292701E-2	7.081077E-3
195	 	4.700000E+0	3.382422E-2	7.196643E-3
196	 	4.750000E+0	3.462597E-2	7.289678E-3
197	 	4.800000E+0	3.604970E-2	7.510354E-3
198	 	4.850000E+0	3.747085E-2	7.725948E-3
199	 	4.900000E+0	3.836327E-2	7.829239E-3
200	 	4.950000E+0	3.839351E-2	7.756265E-3
201	 	5.000000E+0	3.840344E-2	7.680688E-3
202	 	4.950000E+0	3.762085E-2	7.600172E-3
203	 	4.900000E+0	3.684906E-2	7.520216E-3
204	 	4.850000E+0	3.611076E-2	7.445518E-3
205	 	4.800000E+0	3.519321E-2	7.331919E-3
206	 	4.750000E+0	3.443685E-2	7.249863E-3
207	 	4.700000E+0	3.362381E-2	7.154002E-3
208	 	4.650000E+0	3.308375E-2	7.114785E-3
209	 	4.600000E+0	3.241418E-2	7.046561E-3
210	 	4.550000E+0	3.182733E-2	6.995018E-3
211	 	4.500000E+0	3.113481E-2	6.918847E-3
212	 	4.450000E+0	3.044105E-2	6.840685E-3
213	 	4.400000E+0	2.991104E-2	6.797964E-3
214	 	4.350000E+0	2.951286E-2	6.784566E-3
215	 	4.300000E+0	2.886031E-2	6.711700E-3
216	 	4.250000E+0	2.838891E-2	6.679744E-3
217	 	4.200000E+0	2.776523E-2	6.610769E-3
218	 	4.150000E+0	2.743037E-2	6.609728E-3
219	 	4.100000E+0	2.698168E-2	6.580898E-3
220	 	4.050000E+0	2.682784E-2	6.624158E-3
221	 	4.000000E+0	2.642921E-2	6.607303E-3
222	 	3.950000E+0	2.625235E-2	6.646165E-3
223	 	3.900000E+0	2.756141E-2	7.067028E-3
224	 	3.850000E+0	2.782203E-2	7.226501E-3
225	 	3.800000E+0	2.735198E-2	7.197889E-3
226	 	3.750000E+0	2.683863E-2	7.156968E-3
227	 	3.700000E+0	2.628182E-2	7.103195E-3
228	 	3.650000E+0	2.556178E-2	7.003227E-3
229	 	3.600000E+0	2.480835E-2	6.891208E-3
230	 	3.550000E+0	2.421987E-2	6.822499E-3
231	 	3.500000E+0	2.384895E-2	6.813986E-3
232	 	3.450000E+0	2.386152E-2	6.916383E-3
233	 	3.400000E+0	2.409329E-2	7.086262E-3
234	 	3.350000E+0	2.402046E-2	7.170287E-3
235	 	3.300000E+0	2.320474E-2	7.031739E-3
236	 	3.250000E+0	2.252211E-2	6.929880E-3
237	 	3.200000E+0	2.184691E-2	6.827159E-3
238	 	3.150000E+0	2.114587E-2	6.712975E-3
239	 	3.100000E+0	2.050783E-2	6.615429E-3
240	 	3.050000E+0	1.987432E-2	6.516170E-3
241	 	3.000000E+0	1.937785E-2	6.459283E-3
242	 	2.950000E+0	1.877128E-2	6.363146E-3
243	 	2.900000E+0	1.813192E-2	6.252386E-3
244	 	2.850000E+0	1.754726E-2	6.156933E-3
245	 	2.800000E+0	1.699651E-2	6.070182E-3
246	 	2.750000E+0	1.638864E-2	5.959505E-3
247	 	2.700000E+0	1.577838E-2	5.843844E-3
248	 	2.650000E+0	1.510998E-2	5.701879E-3
249	 	2.600000E+0	1.454584E-2	5.594554E-3
250	 	2.550000E+0	1.399445E-2	5.488020E-3
251	 	2.500000E+0	1.336803E-2	5.347212E-3
252	 	2.450000E+0	1.276925E-2	5.211939E-3
253	 	2.400000E+0	1.219070E-2	5.079458E-3
254	 	2.350000E+0	1.157296E-2	4.924664E-3
255	 	2.300000E+0	1.107769E-2	4.816387E-3
256	 	2.250000E+0	1.051624E-2	4.673884E-3
257	 	2.200000E+0	1.000595E-2	4.548159E-3
258	 	2.150000E+0	9.652294E-3	4.489439E-3
259	 	2.100000E+0	9.283401E-3	4.420667E-3
260	 	2.050000E+0	9.008329E-3	4.394307E-3
261	 	2.000000E+0	8.767067E-3	4.383534E-3
262	 	1.950000E+0	8.546227E-3	4.382681E-3
263	 	1.900000E+0	8.281575E-3	4.358724E-3
264	 	1.850000E+0	7.937108E-3	4.290329E-3
265	 	1.800000E+0	7.407630E-3	4.115350E-3
266	 	1.750000E+0	6.920557E-3	3.954604E-3
267	 	1.700000E+0	6.415185E-3	3.773638E-3
268	 	1.650000E+0	5.966506E-3	3.616064E-3
269	 	1.600000E+0	5.573817E-3	3.483636E-3
270	 	1.550000E+0	5.165255E-3	3.332423E-3
271	 	1.500000E+0	4.713517E-3	3.142345E-3
272	 	1.450000E+0	4.302160E-3	2.967007E-3
273	 	1.400000E+0	3.916751E-3	2.797679E-3
274	 	1.350000E+0	3.532832E-3	2.616913E-3
275	 	1.300000E+0	3.176184E-3	2.443218E-3
276	 	1.250000E+0	2.832310E-3	2.265848E-3
277	 	1.200000E+0	2.544291E-3	2.120243E-3
278	 	1.150000E+0	2.287688E-3	1.989294E-3
279	 	1.100000E+0	2.043579E-3	1.857799E-3
280	 	1.050000E+0	1.852226E-3	1.764025E-3
281	 	1.000000E+0	1.913286E-3	1.913286E-3
282	 	9.500000E-1	1.622887E-3	1.708302E-3
283	 	9.000000E-1	1.217524E-3	1.352804E-3
284	 	8.500000E-1	8.542352E-4	1.004983E-3
285	 	8.000000E-1	5.610614E-4	7.013268E-4
286	 	7.500000E-1	3.420346E-4	4.560461E-4
287	 	7.000000E-1	1.939955E-4	2.771364E-4
288	 	6.500000E-1	1.032436E-4	1.588363E-4
289	 	6.000000E-1	2.519736E-5	4.199560E-5
290	 	5.500000E-1	-1.712874E-4	-3.114316E-4
291	 	5.000000E-1	-4.250315E-4	-8.500630E-4
292	 	4.500000E-1	-6.617256E-4	-1.470501E-3
293	 	4.000000E-1	-8.437532E-4	-2.109383E-3
294	 	3.500000E-1	-8.984187E-4	-2.566911E-3
295	 	3.000000E-1	-9.266661E-4	-3.088887E-3
296	 	2.500000E-1	-1.079596E-3	-4.318384E-3
297	 	2.000000E-1	-1.313431E-3	-6.567155E-3
298	 	1.500000E-1	-1.547142E-3	-1.031428E-2
299	 	1.000000E-1	-1.752272E-3	-1.752272E-2
300	 	5.000000E-2	-1.905910E-3	-3.811820E-2
301	 	-9.423018E-15	-2.011452E-3	2.134615E+11
302	 	-5.000000E-2	-2.094335E-3	4.188670E-2
303	 	-1.000000E-1	-2.156626E-3	2.156626E-2
