Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-3.762914E-4	3.762914E-4
2	 	-9.900000E-1	-3.601832E-4	3.638214E-4
3	 	-9.800000E-1	-3.443718E-4	3.513998E-4
4	 	-9.700000E-1	-3.288322E-4	3.390023E-4
5	 	-9.600000E-1	-3.142850E-4	3.273802E-4
6	 	-9.500000E-1	-3.008665E-4	3.167016E-4
7	 	-9.400000E-1	-2.882977E-4	3.066997E-4
8	 	-9.300000E-1	-2.768460E-4	2.976839E-4
9	 	-9.200000E-1	-2.660685E-4	2.892049E-4
10	 	-9.100000E-1	-2.563825E-4	2.817390E-4
11	 	-9.000000E-1	-2.475461E-4	2.750512E-4
12	 	-8.900000E-1	-2.396382E-4	2.692564E-4
13	 	-8.800000E-1	-2.320024E-4	2.636391E-4
14	 	-8.700000E-1	-2.248981E-4	2.585036E-4
15	 	-8.600000E-1	-2.180618E-4	2.535602E-4
16	 	-8.500000E-1	-2.119235E-4	2.493218E-4
17	 	-8.400000E-1	-2.060491E-4	2.452965E-4
18	 	-8.300000E-1	-2.001960E-4	2.412000E-4
19	 	-8.200000E-1	-1.947984E-4	2.375590E-4
20	 	-8.100000E-1	-1.894767E-4	2.339219E-4
21	 	-8.000000E-1	-1.842799E-4	2.303499E-4
22	 	-7.900000E-1	-1.789624E-4	2.265347E-4
23	 	-7.800000E-1	-1.740210E-4	2.231038E-4
24	 	-7.700000E-1	-1.690629E-4	2.195622E-4
25	 	-7.600000E-1	-1.642597E-4	2.161312E-4
26	 	-7.500000E-1	-1.589920E-4	2.119893E-4
27	 	-7.400000E-1	-1.538040E-4	2.078432E-4
28	 	-7.300000E-1	-1.486827E-4	2.036749E-4
29	 	-7.200000E-1	-1.435824E-4	1.994200E-4
30	 	-7.100000E-1	-1.383692E-4	1.948862E-4
31	 	-7.000000E-1	-1.327836E-4	1.896909E-4
32	 	-6.900000E-1	-1.274532E-4	1.847148E-4
33	 	-6.800000E-1	-1.217755E-4	1.790816E-4
34	 	-6.700000E-1	-1.162860E-4	1.735612E-4
35	 	-6.600000E-1	-1.106923E-4	1.677156E-4
36	 	-6.500000E-1	-1.053953E-4	1.621466E-4
37	 	-6.400000E-1	-1.000564E-4	1.563381E-4
38	 	-6.300000E-1	-9.482641E-5	1.505181E-4
39	 	-6.200000E-1	-8.950869E-5	1.443689E-4
40	 	-6.100000E-1	-8.451704E-5	1.385525E-4
41	 	-6.000000E-1	-7.945451E-5	1.324242E-4
42	 	-5.900000E-1	-7.460950E-5	1.264568E-4
43	 	-5.800000E-1	-6.972259E-5	1.202114E-4
44	 	-5.700000E-1	-6.510762E-5	1.142239E-4
45	 	-5.600000E-1	-6.072275E-5	1.084335E-4
46	 	-5.500000E-1	-5.629199E-5	1.023491E-4
47	 	-5.400000E-1	-5.218749E-5	9.664350E-5
48	 	-5.300000E-1	-4.812906E-5	9.080955E-5
49	 	-5.200000E-1	-4.438015E-5	8.534644E-5
50	 	-5.100000E-1	-4.058531E-5	7.957904E-5
51	 	-5.000000E-1	-3.719631E-5	7.439262E-5
52	 	-4.900000E-1	-3.379887E-5	6.897729E-5
53	 	-4.800000E-1	-3.073622E-5	6.403379E-5
54	 	-4.700000E-1	-2.787439E-5	5.930721E-5
55	 	-4.600000E-1	-2.505019E-5	5.445693E-5
56	 	-4.500000E-1	-2.256906E-5	5.015347E-5
57	 	-4.400000E-1	-2.017167E-5	4.584470E-5
58	 	-4.300000E-1	-1.778680E-5	4.136465E-5
59	 	-4.200000E-1	-1.569481E-5	3.736860E-5
60	 	-4.100000E-1	-1.357769E-5	3.311632E-5
61	 	-4.000000E-1	-1.128070E-5	2.820175E-5
62	 	-3.900000E-1	-8.853994E-6	2.270255E-5
63	 	-3.800000E-1	-5.975413E-6	1.572477E-5
64	 	-3.700000E-1	-2.900188E-6	7.838346E-6
65	 	-3.600000E-1	4.426960E-7	-1.229711E-6
66	 	-3.500000E-1	4.220572E-6	-1.205878E-5
67	 	-3.400000E-1	7.935696E-6	-2.334028E-5
68	 	-3.300000E-1	1.174285E-5	-3.558439E-5
69	 	-3.200000E-1	1.547887E-5	-4.837147E-5
70	 	-3.100000E-1	1.944084E-5	-6.271239E-5
