Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-8.574482E-4	8.574482E-4
2	 	-9.900000E-1	-6.284580E-4	6.348061E-4
3	 	-9.800000E-1	-4.874360E-4	4.973837E-4
4	 	-9.700000E-1	-3.986450E-4	4.109742E-4
5	 	-9.600000E-1	-3.382843E-4	3.523795E-4
6	 	-9.500000E-1	-2.980954E-4	3.137846E-4
7	 	-9.400000E-1	-2.719113E-4	2.892673E-4
8	 	-9.300000E-1	-2.544550E-4	2.736075E-4
9	 	-9.200000E-1	-2.412665E-4	2.622462E-4
10	 	-9.100000E-1	-2.293170E-4	2.519967E-4
11	 	-9.000000E-1	-2.186387E-4	2.429319E-4
12	 	-8.900000E-1	-2.088313E-4	2.346419E-4
13	 	-8.800000E-1	-1.998060E-4	2.270523E-4
14	 	-8.700000E-1	-1.914877E-4	2.201008E-4
15	 	-8.600000E-1	-1.835213E-4	2.133969E-4
16	 	-8.500000E-1	-1.762281E-4	2.073272E-4
17	 	-8.400000E-1	-1.701656E-4	2.025781E-4
18	 	-8.300000E-1	-1.642368E-4	1.978757E-4
19	 	-8.200000E-1	-1.579979E-4	1.926804E-4
20	 	-8.100000E-1	-1.519852E-4	1.876360E-4
21	 	-8.000000E-1	-1.469852E-4	1.837315E-4
22	 	-7.900000E-1	-1.416924E-4	1.793575E-4
23	 	-7.800000E-1	-1.369138E-4	1.755305E-4
24	 	-7.700000E-1	-1.321819E-4	1.716648E-4
25	 	-7.600000E-1	-1.276296E-4	1.679337E-4
26	 	-7.500000E-1	-1.237172E-4	1.649563E-4
27	 	-7.400000E-1	-1.196963E-4	1.617518E-4
28	 	-7.300000E-1	-1.160226E-4	1.589351E-4
29	 	-7.200000E-1	-1.122987E-4	1.559704E-4
30	 	-7.100000E-1	-1.087296E-4	1.531403E-4
31	 	-7.000000E-1	-1.050642E-4	1.500917E-4
32	 	-6.900000E-1	-1.013614E-4	1.469006E-4
33	 	-6.800000E-1	-9.779236E-5	1.438123E-4
34	 	-6.700000E-1	-9.432787E-5	1.407879E-4
35	 	-6.600000E-1	-9.081318E-5	1.375957E-4
36	 	-6.500000E-1	-8.723573E-5	1.342088E-4
37	 	-6.400000E-1	-8.371683E-5	1.308075E-4
