Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-3.400880E-4	3.400880E-4
2	 	-9.900000E-1	-3.270514E-4	3.303549E-4
3	 	-9.800000E-1	-3.135712E-4	3.199706E-4
4	 	-9.700000E-1	-3.001951E-4	3.094795E-4
5	 	-9.600000E-1	-2.872999E-4	2.992707E-4
6	 	-9.500000E-1	-2.747275E-4	2.891868E-4
7	 	-9.400000E-1	-2.626403E-4	2.794046E-4
8	 	-9.300000E-1	-2.510466E-4	2.699426E-4
9	 	-9.200000E-1	-2.405702E-4	2.614893E-4
10	 	-9.100000E-1	-2.306792E-4	2.534936E-4
11	 	-9.000000E-1	-2.215544E-4	2.461716E-4
12	 	-8.900000E-1	-2.132576E-4	2.396153E-4
13	 	-8.800000E-1	-2.056597E-4	2.337042E-4
14	 	-8.700000E-1	-1.983382E-4	2.279749E-4
15	 	-8.600000E-1	-1.917691E-4	2.229873E-4
16	 	-8.500000E-1	-1.855813E-4	2.183309E-4
17	 	-8.400000E-1	-1.797404E-4	2.139767E-4
18	 	-8.300000E-1	-1.743433E-4	2.100522E-4
19	 	-8.200000E-1	-1.691681E-4	2.063026E-4
20	 	-8.100000E-1	-1.642642E-4	2.027953E-4
21	 	-8.000000E-1	-1.602688E-4	2.003360E-4
22	 	-7.900000E-1	-1.561854E-4	1.977030E-4
23	 	-7.800000E-1	-1.525201E-4	1.955386E-4
24	 	-7.700000E-1	-1.487881E-4	1.932313E-4
25	 	-7.600000E-1	-1.453281E-4	1.912212E-4
26	 	-7.500000E-1	-1.414959E-4	1.886612E-4
27	 	-7.400000E-1	-1.377970E-4	1.862122E-4
28	 	-7.300000E-1	-1.335126E-4	1.828940E-4
29	 	-7.200000E-1	-1.293581E-4	1.796640E-4
30	 	-7.100000E-1	-1.249650E-4	1.760070E-4
31	 	-7.000000E-1	-1.201036E-4	1.715766E-4
32	 	-6.900000E-1	-1.155221E-4	1.674233E-4
33	 	-6.800000E-1	-1.108778E-4	1.630556E-4
34	 	-6.700000E-1	-1.061961E-4	1.585016E-4
35	 	-6.600000E-1	-1.015352E-4	1.538412E-4
36	 	-6.500000E-1	-9.678224E-5	1.488958E-4
37	 	-6.400000E-1	-9.209239E-5	1.438944E-4
