Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-1.202281E-4	1.202281E-4
2	 	-9.900000E-1	-1.148101E-4	1.159698E-4
3	 	-9.800000E-1	-1.097646E-4	1.120047E-4
4	 	-9.700000E-1	-1.048322E-4	1.080744E-4
5	 	-9.600000E-1	-1.001463E-4	1.043191E-4
6	 	-9.500000E-1	-9.587879E-5	1.009250E-4
7	 	-9.400000E-1	-9.152773E-5	9.736993E-5
8	 	-9.300000E-1	-8.736912E-5	9.394529E-5
9	 	-9.200000E-1	-8.344070E-5	9.069641E-5
10	 	-9.100000E-1	-7.959582E-5	8.746793E-5
11	 	-9.000000E-1	-7.593504E-5	8.437227E-5
12	 	-8.900000E-1	-7.255039E-5	8.151729E-5
13	 	-8.800000E-1	-6.905705E-5	7.847392E-5
14	 	-8.700000E-1	-6.573527E-5	7.555778E-5
15	 	-8.600000E-1	-6.269367E-5	7.289962E-5
16	 	-8.500000E-1	-5.958105E-5	7.009535E-5
17	 	-8.400000E-1	-5.659387E-5	6.737365E-5
18	 	-8.300000E-1	-5.381575E-5	6.483825E-5
19	 	-8.200000E-1	-5.118841E-5	6.242489E-5
20	 	-8.100000E-1	-4.864472E-5	6.005521E-5
21	 	-8.000000E-1	-4.604245E-5	5.755306E-5
22	 	-7.900000E-1	-4.359084E-5	5.517828E-5
23	 	-7.800000E-1	-4.128565E-5	5.293032E-5
24	 	-7.700000E-1	-3.920215E-5	5.091188E-5
25	 	-7.600000E-1	-3.713541E-5	4.886238E-5
26	 	-7.500000E-1	-3.506863E-5	4.675817E-5
27	 	-7.400000E-1	-3.322776E-5	4.490238E-5
28	 	-7.300000E-1	-3.142041E-5	4.304166E-5
29	 	-7.200000E-1	-2.958795E-5	4.109438E-5
30	 	-7.100000E-1	-2.809435E-5	3.956951E-5
31	 	-7.000000E-1	-2.649199E-5	3.784570E-5
32	 	-6.900000E-1	-2.509464E-5	3.636904E-5
33	 	-6.800000E-1	-2.365543E-5	3.478740E-5
34	 	-6.700000E-1	-2.230412E-5	3.328973E-5
35	 	-6.600000E-1	-2.111593E-5	3.199383E-5
36	 	-6.500000E-1	-1.970605E-5	3.031700E-5
37	 	-6.400000E-1	-1.868104E-5	2.918913E-5
38	 	-6.300000E-1	-1.768112E-5	2.806527E-5
39	 	-6.200000E-1	-1.670632E-5	2.694568E-5
40	 	-6.100000E-1	-1.571895E-5	2.576877E-5
41	 	-6.000000E-1	-1.487385E-5	2.478975E-5
42	 	-5.900000E-1	-1.413331E-5	2.395476E-5
43	 	-5.800000E-1	-1.330497E-5	2.293960E-5
44	 	-5.700000E-1	-1.253096E-5	2.198414E-5
45	 	-5.600000E-1	-1.190342E-5	2.125611E-5
46	 	-5.500000E-1	-1.133024E-5	2.060044E-5
47	 	-5.400000E-1	-1.074871E-5	1.990502E-5
48	 	-5.300000E-1	-1.028013E-5	1.939647E-5
49	 	-5.200000E-1	-9.928696E-6	1.909365E-5
50	 	-5.100000E-1	-9.531271E-6	1.868877E-5
51	 	-5.000000E-1	-9.393187E-6	1.878637E-5
52	 	-4.900000E-1	-9.439204E-6	1.926368E-5
53	 	-4.800000E-1	-9.175648E-6	1.911593E-5
54	 	-4.700000E-1	-9.020854E-6	1.919331E-5
55	 	-4.600000E-1	-8.527169E-6	1.853732E-5
56	 	-4.500000E-1	-7.774104E-6	1.727579E-5
57	 	-4.400000E-1	-6.849504E-6	1.556705E-5
58	 	-4.300000E-1	-6.238676E-6	1.450855E-5
59	 	-4.200000E-1	-5.330817E-6	1.269242E-5
60	 	-4.100000E-1	-4.431311E-6	1.080808E-5
61	 	-4.000000E-1	-3.502529E-6	8.756323E-6
62	 	-3.900000E-1	-2.577932E-6	6.610082E-6
63	 	-3.800000E-1	-1.485985E-6	3.910487E-6
64	 	-3.700000E-1	-2.685946E-7	7.259314E-7
65	 	-3.600000E-1	7.605227E-7	-2.112563E-6
66	 	-3.500000E-1	2.128507E-6	-6.081449E-6
67	 	-3.400000E-1	3.488113E-6	-1.025916E-5
68	 	-3.300000E-1	4.630184E-6	-1.403086E-5
69	 	-3.200000E-1	5.763893E-6	-1.801217E-5
70	 	-3.100000E-1	6.688418E-6	-2.157554E-5
71	 	-3.000000E-1	7.621325E-6	-2.540442E-5
72	 	-2.900000E-1	8.282319E-6	-2.855972E-5
73	 	-2.800000E-1	9.110613E-6	-3.253790E-5
