Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-2.564586E-4	2.564586E-4
2	 	-9.900000E-1	-2.496647E-4	2.521866E-4
3	 	-9.800000E-1	-2.422387E-4	2.471823E-4
4	 	-9.700000E-1	-2.346831E-4	2.419413E-4
5	 	-9.600000E-1	-2.268091E-4	2.362595E-4
6	 	-9.500000E-1	-2.187809E-4	2.302957E-4
7	 	-9.400000E-1	-2.107152E-4	2.241651E-4
8	 	-9.300000E-1	-2.025065E-4	2.177489E-4
9	 	-9.200000E-1	-1.946993E-4	2.116297E-4
10	 	-9.100000E-1	-1.865624E-4	2.050136E-4
11	 	-9.000000E-1	-1.785510E-4	1.983900E-4
12	 	-8.900000E-1	-1.711707E-4	1.923266E-4
13	 	-8.800000E-1	-1.634856E-4	1.857791E-4
14	 	-8.700000E-1	-1.563062E-4	1.796623E-4
15	 	-8.600000E-1	-1.491691E-4	1.734524E-4
16	 	-8.500000E-1	-1.422742E-4	1.673814E-4
17	 	-8.400000E-1	-1.358776E-4	1.617590E-4
18	 	-8.300000E-1	-1.293969E-4	1.558999E-4
19	 	-8.200000E-1	-1.233893E-4	1.504748E-4
20	 	-8.100000E-1	-1.177163E-4	1.453288E-4
21	 	-8.000000E-1	-1.123987E-4	1.404984E-4
22	 	-7.900000E-1	-1.072823E-4	1.358004E-4
23	 	-7.800000E-1	-1.024042E-4	1.312874E-4
24	 	-7.700000E-1	-9.787726E-5	1.271133E-4
25	 	-7.600000E-1	-9.345952E-5	1.229731E-4
26	 	-7.500000E-1	-8.967760E-5	1.195701E-4
27	 	-7.400000E-1	-8.616303E-5	1.164365E-4
28	 	-7.300000E-1	-8.270331E-5	1.132922E-4
29	 	-7.200000E-1	-7.966179E-5	1.106414E-4
30	 	-7.100000E-1	-7.698413E-5	1.084284E-4
31	 	-7.000000E-1	-7.438610E-5	1.062659E-4
32	 	-6.900000E-1	-7.210610E-5	1.045016E-4
33	 	-6.800000E-1	-6.989285E-5	1.027836E-4
34	 	-6.700000E-1	-6.805638E-5	1.015767E-4
35	 	-6.600000E-1	-6.621136E-5	1.003202E-4
36	 	-6.500000E-1	-6.482640E-5	9.973292E-5
37	 	-6.400000E-1	-6.314467E-5	9.866355E-5
38	 	-6.300000E-1	-6.111986E-5	9.701565E-5
39	 	-6.200000E-1	-5.905302E-5	9.524681E-5
40	 	-6.100000E-1	-5.664742E-5	9.286462E-5
41	 	-6.000000E-1	-5.388627E-5	8.981045E-5
42	 	-5.900000E-1	-5.099532E-5	8.643275E-5
43	 	-5.800000E-1	-4.800825E-5	8.277284E-5
44	 	-5.700000E-1	-4.525117E-5	7.938802E-5
45	 	-5.600000E-1	-4.252350E-5	7.593482E-5
46	 	-5.500000E-1	-3.974971E-5	7.227220E-5
47	 	-5.400000E-1	-3.732311E-5	6.911687E-5
48	 	-5.300000E-1	-3.493430E-5	6.591377E-5
49	 	-5.200000E-1	-3.247017E-5	6.244263E-5
50	 	-5.100000E-1	-3.026109E-5	5.933547E-5
51	 	-5.000000E-1	-2.820278E-5	5.640556E-5
52	 	-4.900000E-1	-2.605658E-5	5.317669E-5
53	 	-4.800000E-1	-2.414464E-5	5.030133E-5
54	 	-4.700000E-1	-2.232057E-5	4.749057E-5
55	 	-4.600000E-1	-2.070149E-5	4.500324E-5
56	 	-4.500000E-1	-1.903639E-5	4.230309E-5
57	 	-4.400000E-1	-1.726675E-5	3.924261E-5
58	 	-4.300000E-1	-1.574806E-5	3.662340E-5
59	 	-4.200000E-1	-1.414991E-5	3.369026E-5
60	 	-4.100000E-1	-1.264379E-5	3.083851E-5
61	 	-4.000000E-1	-1.092848E-5	2.732120E-5
62	 	-3.900000E-1	-9.075122E-6	2.326954E-5
63	 	-3.800000E-1	-7.025140E-6	1.848721E-5
64	 	-3.700000E-1	-4.866368E-6	1.315235E-5
65	 	-3.600000E-1	-2.477508E-6	6.881967E-6
66	 	-3.500000E-1	-9.237738E-9	2.639354E-8
67	 	-3.400000E-1	2.471497E-6	-7.269109E-6
68	 	-3.300000E-1	5.265977E-6	-1.595751E-5
69	 	-3.200000E-1	8.027010E-6	-2.508441E-5
70	 	-3.100000E-1	1.071272E-5	-3.455716E-5
71	 	-3.000000E-1	1.355323E-5	-4.517743E-5
72	 	-2.900000E-1	1.617617E-5	-5.577990E-5
73	 	-2.800000E-1	1.861504E-5	-6.648229E-5
74	 	-2.700000E-1	2.114602E-5	-7.831859E-5
75	 	-2.600000E-1	2.354727E-5	-9.056642E-5
76	 	-2.500000E-1	2.581888E-5	-1.032755E-4
77	 	-2.400000E-1	2.775989E-5	-1.156662E-4
78	 	-2.300000E-1	2.986840E-5	-1.298626E-4
79	 	-2.200000E-1	3.147472E-5	-1.430669E-4
80	 	-2.100000E-1	3.293053E-5	-1.568120E-4
