Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-2.650560E-4	2.650560E-4
2	 	-9.900000E-1	-2.576468E-4	2.602493E-4
3	 	-9.800000E-1	-2.493883E-4	2.544779E-4
4	 	-9.700000E-1	-2.413221E-4	2.487857E-4
5	 	-9.600000E-1	-2.326370E-4	2.423302E-4
6	 	-9.500000E-1	-2.240731E-4	2.358664E-4
7	 	-9.400000E-1	-2.156301E-4	2.293937E-4
8	 	-9.300000E-1	-2.069955E-4	2.225758E-4
9	 	-9.200000E-1	-1.987035E-4	2.159821E-4
10	 	-9.100000E-1	-1.906535E-4	2.095093E-4
11	 	-9.000000E-1	-1.825796E-4	2.028662E-4
12	 	-8.900000E-1	-1.747852E-4	1.963879E-4
13	 	-8.800000E-1	-1.671375E-4	1.899290E-4
14	 	-8.700000E-1	-1.598118E-4	1.836917E-4
15	 	-8.600000E-1	-1.526831E-4	1.775385E-4
16	 	-8.500000E-1	-1.459138E-4	1.716633E-4
17	 	-8.400000E-1	-1.393456E-4	1.658876E-4
18	 	-8.300000E-1	-1.330908E-4	1.603504E-4
19	 	-8.200000E-1	-1.272340E-4	1.551634E-4
20	 	-8.100000E-1	-1.217032E-4	1.502509E-4
21	 	-8.000000E-1	-1.164527E-4	1.455659E-4
22	 	-7.900000E-1	-1.115370E-4	1.411861E-4
23	 	-7.800000E-1	-1.070186E-4	1.372033E-4
24	 	-7.700000E-1	-1.026216E-4	1.332748E-4
25	 	-7.600000E-1	-9.858432E-5	1.297162E-4
26	 	-7.500000E-1	-9.509067E-5	1.267876E-4
27	 	-7.400000E-1	-9.158092E-5	1.237580E-4
28	 	-7.300000E-1	-8.872759E-5	1.215446E-4
29	 	-7.200000E-1	-8.592454E-5	1.193396E-4
30	 	-7.100000E-1	-8.333896E-5	1.173788E-4
31	 	-7.000000E-1	-8.108404E-5	1.158343E-4
32	 	-6.900000E-1	-7.945245E-5	1.151485E-4
33	 	-6.800000E-1	-7.749457E-5	1.139626E-4
34	 	-6.700000E-1	-7.549895E-5	1.126850E-4
35	 	-6.600000E-1	-7.366237E-5	1.116097E-4
36	 	-6.500000E-1	-7.160812E-5	1.101663E-4
37	 	-6.400000E-1	-6.913138E-5	1.080178E-4
38	 	-6.300000E-1	-6.643718E-5	1.054558E-4
39	 	-6.200000E-1	-6.331621E-5	1.021229E-4
40	 	-6.100000E-1	-6.009059E-5	9.850916E-5
41	 	-6.000000E-1	-5.693610E-5	9.489350E-5
42	 	-5.900000E-1	-5.365611E-5	9.094256E-5
43	 	-5.800000E-1	-5.049331E-5	8.705743E-5
44	 	-5.700000E-1	-4.755205E-5	8.342465E-5
45	 	-5.600000E-1	-4.464032E-5	7.971486E-5
46	 	-5.500000E-1	-4.182889E-5	7.605253E-5
47	 	-5.400000E-1	-3.914718E-5	7.249478E-5
48	 	-5.300000E-1	-3.655332E-5	6.896853E-5
49	 	-5.200000E-1	-3.398038E-5	6.534688E-5
50	 	-5.100000E-1	-3.168358E-5	6.212467E-5
51	 	-5.000000E-1	-2.958756E-5	5.917512E-5
52	 	-4.900000E-1	-2.734927E-5	5.581484E-5
53	 	-4.800000E-1	-2.534114E-5	5.279404E-5
54	 	-4.700000E-1	-2.339576E-5	4.977821E-5
55	 	-4.600000E-1	-2.165533E-5	4.707680E-5
56	 	-4.500000E-1	-2.002788E-5	4.450640E-5
57	 	-4.400000E-1	-1.829167E-5	4.157198E-5
58	 	-4.300000E-1	-1.672279E-5	3.889021E-5
59	 	-4.200000E-1	-1.496569E-5	3.563260E-5
60	 	-4.100000E-1	-1.360181E-5	3.317515E-5
61	 	-4.000000E-1	-1.168990E-5	2.922475E-5
62	 	-3.900000E-1	-9.815617E-6	2.516825E-5
63	 	-3.800000E-1	-7.748903E-6	2.039185E-5
64	 	-3.700000E-1	-5.581770E-6	1.508586E-5
65	 	-3.600000E-1	-3.000462E-6	8.334617E-6
66	 	-3.500000E-1	-3.480913E-7	9.945466E-7
67	 	-3.400000E-1	2.433839E-6	-7.158350E-6
68	 	-3.300000E-1	5.378921E-6	-1.629976E-5
69	 	-3.200000E-1	8.349103E-6	-2.609095E-5
70	 	-3.100000E-1	1.146989E-5	-3.699965E-5
71	 	-3.000000E-1	1.437315E-5	-4.791050E-5
72	 	-2.900000E-1	1.749813E-5	-6.033838E-5
73	 	-2.800000E-1	2.028839E-5	-7.245854E-5
74	 	-2.700000E-1	2.305778E-5	-8.539919E-5
75	 	-2.600000E-1	2.567245E-5	-9.874019E-5
76	 	-2.500000E-1	2.812803E-5	-1.125121E-4
77	 	-2.400000E-1	3.036192E-5	-1.265080E-4
78	 	-2.300000E-1	3.254979E-5	-1.415208E-4
79	 	-2.200000E-1	3.446161E-5	-1.566437E-4
80	 	-2.100000E-1	3.610147E-5	-1.719118E-4
81	 	-2.000000E-1	3.725190E-5	-1.862595E-4
82	 	-1.900000E-1	3.818062E-5	-2.009506E-4
83	 	-1.800000E-1	3.907585E-5	-2.170881E-4
84	 	-1.700000E-1	4.001299E-5	-2.353705E-4
85	 	-1.600000E-1	4.081196E-5	-2.550748E-4
86	 	-1.500000E-1	4.138926E-5	-2.759284E-4
87	 	-1.400000E-1	4.218828E-5	-3.013449E-4
88	 	-1.300000E-1	4.303752E-5	-3.310578E-4
89	 	-1.200000E-1	4.403307E-5	-3.669423E-4
90	 	-1.100000E-1	4.565626E-5	-4.150569E-4
91	 	-1.000000E-1	4.705345E-5	-4.705345E-4
92	 	-9.000000E-2	4.901967E-5	-5.446630E-4
93	 	-8.000000E-2	5.096079E-5	-6.370099E-4
94	 	-7.000000E-2	5.298543E-5	-7.569347E-4
95	 	-6.000000E-2	5.512325E-5	-9.187208E-4
96	 	-5.000000E-2	5.710609E-5	-1.142122E-3
97	 	-4.000000E-2	5.881707E-5	-1.470427E-3
98	 	-3.000000E-2	6.038597E-5	-2.012866E-3
99	 	-2.000000E-2	6.209256E-5	-3.104628E-3
100	 	-1.000000E-2	6.361549E-5	-6.361549E-3
101	 	7.528700E-16	6.463199E-5	8.584748E+10
102	 	1.000000E-2	6.589117E-5	6.589117E-3
103	 	2.000000E-2	6.697873E-5	3.348936E-3
104	 	3.000000E-2	6.840948E-5	2.280316E-3
105	 	4.000000E-2	6.972307E-5	1.743077E-3
106	 	5.000000E-2	7.103243E-5	1.420649E-3
107	 	6.000000E-2	7.217038E-5	1.202840E-3
108	 	7.000000E-2	7.323700E-5	1.046243E-3
109	 	8.000000E-2	7.386458E-5	9.233072E-4
110	 	9.000000E-2	7.417836E-5	8.242040E-4
111	 	1.000000E-1	7.402354E-5	7.402354E-4
112	 	1.100000E-1	7.339615E-5	6.672377E-4
113	 	1.200000E-1	7.298192E-5	6.081827E-4
114	 	1.300000E-1	7.211170E-5	5.547054E-4
115	 	1.400000E-1	7.165995E-5	5.118568E-4
116	 	1.500000E-1	7.093205E-5	4.728803E-4
117	 	1.600000E-1	7.059320E-5	4.412075E-4
118	 	1.700000E-1	7.030048E-5	4.135322E-4
119	 	1.800000E-1	6.981925E-5	3.878847E-4
120	 	1.900000E-1	6.971891E-5	3.669416E-4
121	 	2.000000E-1	6.979003E-5	3.489501E-4
122	 	2.100000E-1	6.986106E-5	3.326717E-4
123	 	2.200000E-1	7.030041E-5	3.195473E-4
124	 	2.300000E-1	7.056389E-5	3.067995E-4
125	 	2.400000E-1	7.109109E-5	2.962129E-4
126	 	2.500000E-1	7.168077E-5	2.867231E-4
127	 	2.600000E-1	7.242128E-5	2.785434E-4
128	 	2.700000E-1	7.300283E-5	2.703809E-4
129	 	2.800000E-1	7.367224E-5	2.631151E-4
130	 	2.900000E-1	7.436660E-5	2.564366E-4
131	 	3.000000E-1	7.506096E-5	2.502032E-4
132	 	3.100000E-1	7.594797E-5	2.449935E-4
133	 	3.200000E-1	7.659214E-5	2.393504E-4
134	 	3.300000E-1	7.744141E-5	2.346709E-4
135	 	3.400000E-1	7.820701E-5	2.300206E-4
136	 	3.500000E-1	7.898916E-5	2.256833E-4
137	 	3.600000E-1	7.973387E-5	2.214830E-4
138	 	3.700000E-1	8.046608E-5	2.174759E-4
139	 	3.800000E-1	8.099720E-5	2.131505E-4
140	 	3.900000E-1	8.178350E-5	2.097013E-4
141	 	4.000000E-1	8.241960E-5	2.060490E-4
142	 	4.100000E-1	8.318100E-5	2.028805E-4
143	 	4.200000E-1	8.389622E-5	1.997529E-4
144	 	4.300000E-1	8.450712E-5	1.965282E-4
145	 	4.400000E-1	8.518052E-5	1.935921E-4
146	 	4.500000E-1	8.582907E-5	1.907313E-4
147	 	4.600000E-1	8.626827E-5	1.875397E-4
148	 	4.700000E-1	8.690829E-5	1.849113E-4
149	 	4.800000E-1	8.732247E-5	1.819218E-4
150	 	4.900000E-1	8.790395E-5	1.793958E-4
151	 	5.000000E-1	8.846883E-5	1.769377E-4
152	 	5.100000E-1	8.891640E-5	1.743459E-4
153	 	5.200000E-1	8.930124E-5	1.717332E-4
154	 	5.300000E-1	8.974458E-5	1.693294E-4
155	 	5.400000E-1	9.005829E-5	1.667746E-4
156	 	5.500000E-1	9.054380E-5	1.646251E-4
157	 	5.600000E-1	9.089095E-5	1.623053E-4
158	 	5.700000E-1	9.134248E-5	1.602500E-4
159	 	5.800000E-1	9.190341E-5	1.584542E-4
160	 	5.900000E-1	9.212898E-5	1.561508E-4
161	 	6.000000E-1	9.276091E-5	1.546015E-4
162	 	6.100000E-1	9.300333E-5	1.524645E-4
163	 	6.200000E-1	9.341769E-5	1.506737E-4
164	 	6.300000E-1	9.372285E-5	1.487664E-4
165	 	6.400000E-1	9.418324E-5	1.471613E-4
166	 	6.500000E-1	9.460563E-5	1.455471E-4
167	 	6.600000E-1	9.494871E-5	1.438617E-4
168	 	6.700000E-1	9.521620E-5	1.421137E-4
