Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-1.123129E-4	1.123129E-4
2	 	-9.900000E-1	-1.071794E-4	1.082620E-4
3	 	-9.800000E-1	-1.023471E-4	1.044358E-4
4	 	-9.700000E-1	-9.766556E-5	1.006861E-4
5	 	-9.600000E-1	-9.331028E-5	9.719821E-5
6	 	-9.500000E-1	-8.896744E-5	9.364994E-5
7	 	-9.400000E-1	-8.484654E-5	9.026228E-5
8	 	-9.300000E-1	-8.082188E-5	8.690525E-5
9	 	-9.200000E-1	-7.714438E-5	8.385259E-5
10	 	-9.100000E-1	-7.337070E-5	8.062714E-5
11	 	-9.000000E-1	-6.999026E-5	7.776696E-5
12	 	-8.900000E-1	-6.672279E-5	7.496943E-5
13	 	-8.800000E-1	-6.372712E-5	7.241718E-5
14	 	-8.700000E-1	-6.060609E-5	6.966217E-5
15	 	-8.600000E-1	-5.761894E-5	6.699877E-5
16	 	-8.500000E-1	-5.473631E-5	6.439566E-5
17	 	-8.400000E-1	-5.199186E-5	6.189507E-5
18	 	-8.300000E-1	-4.943144E-5	5.955595E-5
19	 	-8.200000E-1	-4.679152E-5	5.706283E-5
20	 	-8.100000E-1	-4.451551E-5	5.495742E-5
21	 	-8.000000E-1	-4.210152E-5	5.262690E-5
22	 	-7.900000E-1	-3.998459E-5	5.061341E-5
23	 	-7.800000E-1	-3.783418E-5	4.850536E-5
24	 	-7.700000E-1	-3.602259E-5	4.678258E-5
25	 	-7.600000E-1	-3.398930E-5	4.472276E-5
26	 	-7.500000E-1	-3.229488E-5	4.305984E-5
27	 	-7.400000E-1	-3.070925E-5	4.149899E-5
28	 	-7.300000E-1	-2.898975E-5	3.971199E-5
29	 	-7.200000E-1	-2.742923E-5	3.809615E-5
30	 	-7.100000E-1	-2.595653E-5	3.655849E-5
31	 	-7.000000E-1	-2.455921E-5	3.508459E-5
32	 	-6.900000E-1	-2.322041E-5	3.365277E-5
33	 	-6.800000E-1	-2.200294E-5	3.235726E-5
34	 	-6.700000E-1	-2.078550E-5	3.102313E-5
35	 	-6.600000E-1	-1.971025E-5	2.986402E-5
36	 	-6.500000E-1	-1.867687E-5	2.873365E-5
37	 	-6.400000E-1	-1.768534E-5	2.763334E-5
38	 	-6.300000E-1	-1.655992E-5	2.628559E-5
39	 	-6.200000E-1	-1.571062E-5	2.533971E-5
40	 	-6.100000E-1	-1.480693E-5	2.427366E-5
41	 	-6.000000E-1	-1.397857E-5	2.329762E-5
42	 	-5.900000E-1	-1.324223E-5	2.244446E-5
43	 	-5.800000E-1	-1.243479E-5	2.143929E-5
44	 	-5.700000E-1	-1.175283E-5	2.061900E-5
45	 	-5.600000E-1	-1.101650E-5	1.967232E-5
46	 	-5.500000E-1	-1.046424E-5	1.902589E-5
47	 	-5.400000E-1	-9.857614E-6	1.825484E-5
48	 	-5.300000E-1	-9.338826E-6	1.762043E-5
49	 	-5.200000E-1	-8.753100E-6	1.683288E-5
50	 	-5.100000E-1	-8.288717E-6	1.625239E-5
51	 	-5.000000E-1	-7.870347E-6	1.574069E-5
52	 	-4.900000E-1	-7.669521E-6	1.565208E-5
53	 	-4.800000E-1	-7.351554E-6	1.531574E-5
54	 	-4.700000E-1	-7.096356E-6	1.509863E-5
55	 	-4.600000E-1	-7.046147E-6	1.531771E-5
56	 	-4.500000E-1	-6.786751E-6	1.508167E-5
57	 	-4.400000E-1	-6.389304E-6	1.452115E-5
58	 	-4.300000E-1	-5.711540E-6	1.328265E-5
59	 	-4.200000E-1	-4.883161E-6	1.162657E-5
60	 	-4.100000E-1	-4.025499E-6	9.818290E-6
61	 	-4.000000E-1	-3.121817E-6	7.804543E-6
62	 	-3.900000E-1	-2.105176E-6	5.397887E-6
63	 	-3.800000E-1	-1.109461E-6	2.919634E-6
64	 	-3.700000E-1	-1.640080E-7	4.432649E-7
65	 	-3.600000E-1	1.124488E-6	-3.123578E-6
66	 	-3.500000E-1	2.233097E-6	-6.380277E-6
67	 	-3.400000E-1	3.354251E-6	-9.865444E-6
68	 	-3.300000E-1	4.546523E-6	-1.377734E-5
69	 	-3.200000E-1	5.596562E-6	-1.748926E-5
70	 	-3.100000E-1	6.730281E-6	-2.171058E-5
71	 	-3.000000E-1	7.520953E-6	-2.506984E-5
72	 	-2.900000E-1	8.470569E-6	-2.920886E-5
73	 	-2.800000E-1	9.340732E-6	-3.335976E-5
74	 	-2.700000E-1	1.005193E-5	-3.722937E-5
75	 	-2.600000E-1	1.059574E-5	-4.075285E-5
76	 	-2.500000E-1	1.120235E-5	-4.480940E-5
77	 	-2.400000E-1	1.147010E-5	-4.779208E-5
78	 	-2.300000E-1	1.192610E-5	-5.185261E-5
