Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-2.271655E-4	2.271655E-4
2	 	-9.900000E-1	-2.215552E-4	2.237931E-4
3	 	-9.800000E-1	-2.156313E-4	2.200319E-4
4	 	-9.700000E-1	-2.093644E-4	2.158396E-4
5	 	-9.600000E-1	-2.028962E-4	2.113502E-4
6	 	-9.500000E-1	-1.961814E-4	2.065067E-4
7	 	-9.400000E-1	-1.895754E-4	2.016760E-4
8	 	-9.300000E-1	-1.826013E-4	1.963455E-4
9	 	-9.200000E-1	-1.756021E-4	1.908718E-4
10	 	-9.100000E-1	-1.687450E-4	1.854341E-4
11	 	-9.000000E-1	-1.620633E-4	1.800703E-4
12	 	-8.900000E-1	-1.551231E-4	1.742956E-4
13	 	-8.800000E-1	-1.484831E-4	1.687308E-4
14	 	-8.700000E-1	-1.418855E-4	1.630868E-4
15	 	-8.600000E-1	-1.353676E-4	1.574042E-4
16	 	-8.500000E-1	-1.291756E-4	1.519713E-4
17	 	-8.400000E-1	-1.230675E-4	1.465089E-4
18	 	-8.300000E-1	-1.172062E-4	1.412123E-4
19	 	-8.200000E-1	-1.114411E-4	1.359038E-4
20	 	-8.100000E-1	-1.059355E-4	1.307846E-4
21	 	-8.000000E-1	-1.007520E-4	1.259400E-4
22	 	-7.900000E-1	-9.579003E-5	1.212532E-4
23	 	-7.800000E-1	-9.105424E-5	1.167362E-4
24	 	-7.700000E-1	-8.644795E-5	1.122701E-4
25	 	-7.600000E-1	-8.222659E-5	1.081929E-4
26	 	-7.500000E-1	-7.825631E-5	1.043417E-4
27	 	-7.400000E-1	-7.453701E-5	1.007257E-4
28	 	-7.300000E-1	-7.065875E-5	9.679281E-5
29	 	-7.200000E-1	-6.735374E-5	9.354686E-5
30	 	-7.100000E-1	-6.437071E-5	9.066297E-5
31	 	-7.000000E-1	-6.148395E-5	8.783421E-5
32	 	-6.900000E-1	-5.884825E-5	8.528732E-5
33	 	-6.800000E-1	-5.637568E-5	8.290541E-5
34	 	-6.700000E-1	-5.419190E-5	8.088343E-5
35	 	-6.600000E-1	-5.255180E-5	7.962394E-5
36	 	-6.500000E-1	-5.097461E-5	7.842248E-5
37	 	-6.400000E-1	-4.950619E-5	7.735342E-5
38	 	-6.300000E-1	-4.827614E-5	7.662879E-5
39	 	-6.200000E-1	-4.735153E-5	7.637344E-5
40	 	-6.100000E-1	-4.672813E-5	7.660349E-5
41	 	-6.000000E-1	-4.565305E-5	7.608842E-5
42	 	-5.900000E-1	-4.446896E-5	7.537112E-5
43	 	-5.800000E-1	-4.269516E-5	7.361234E-5
44	 	-5.700000E-1	-4.096727E-5	7.187240E-5
45	 	-5.600000E-1	-3.859101E-5	6.891252E-5
46	 	-5.500000E-1	-3.636939E-5	6.612616E-5
47	 	-5.400000E-1	-3.409766E-5	6.314381E-5
48	 	-5.300000E-1	-3.174648E-5	5.989902E-5
49	 	-5.200000E-1	-2.949566E-5	5.672242E-5
50	 	-5.100000E-1	-2.745818E-5	5.383957E-5
51	 	-5.000000E-1	-2.545843E-5	5.091686E-5
52	 	-4.900000E-1	-2.352552E-5	4.801127E-5
53	 	-4.800000E-1	-2.167222E-5	4.515046E-5
54	 	-4.700000E-1	-1.990671E-5	4.235470E-5
55	 	-4.600000E-1	-1.834198E-5	3.987387E-5
56	 	-4.500000E-1	-1.686515E-5	3.747811E-5
57	 	-4.400000E-1	-1.529208E-5	3.475473E-5
58	 	-4.300000E-1	-1.379014E-5	3.207009E-5
59	 	-4.200000E-1	-1.232168E-5	2.933733E-5
60	 	-4.100000E-1	-1.076955E-5	2.626720E-5
61	 	-4.000000E-1	-9.087716E-6	2.271929E-5
62	 	-3.900000E-1	-7.393319E-6	1.895723E-5
63	 	-3.800000E-1	-5.410266E-6	1.423754E-5
64	 	-3.700000E-1	-3.590366E-6	9.703692E-6
65	 	-3.600000E-1	-1.373024E-6	3.813956E-6
66	 	-3.500000E-1	8.232601E-7	-2.352172E-6
67	 	-3.400000E-1	3.011166E-6	-8.856371E-6
68	 	-3.300000E-1	5.132135E-6	-1.555192E-5
69	 	-3.200000E-1	7.545948E-6	-2.358109E-5
70	 	-3.100000E-1	9.934671E-6	-3.204733E-5
71	 	-3.000000E-1	1.236101E-5	-4.120337E-5
72	 	-2.900000E-1	1.477481E-5	-5.094762E-5
73	 	-2.800000E-1	1.696272E-5	-6.058114E-5
74	 	-2.700000E-1	1.926775E-5	-7.136204E-5
75	 	-2.600000E-1	2.136365E-5	-8.216788E-5
76	 	-2.500000E-1	2.317925E-5	-9.271700E-5
77	 	-2.400000E-1	2.491112E-5	-1.037963E-4
78	 	-2.300000E-1	2.644647E-5	-1.149847E-4
79	 	-2.200000E-1	2.761359E-5	-1.255163E-4
80	 	-2.100000E-1	2.873474E-5	-1.368321E-4
81	 	-2.000000E-1	2.964670E-5	-1.482335E-4
82	 	-1.900000E-1	3.041231E-5	-1.600648E-4
83	 	-1.800000E-1	3.115689E-5	-1.730938E-4
84	 	-1.700000E-1	3.189737E-5	-1.876316E-4
85	 	-1.600000E-1	3.289717E-5	-2.056073E-4
86	 	-1.500000E-1	3.382592E-5	-2.255061E-4
87	 	-1.400000E-1	3.489269E-5	-2.492335E-4
