Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-1.580354E-3	1.580354E-3
2	 	-9.900000E-1	-1.063461E-3	1.074203E-3
3	 	-9.800000E-1	-7.755675E-4	7.913954E-4
4	 	-9.700000E-1	-6.288660E-4	6.483155E-4
5	 	-9.600000E-1	-5.331194E-4	5.553327E-4
6	 	-9.500000E-1	-4.724927E-4	4.973607E-4
7	 	-9.400000E-1	-4.280837E-4	4.554082E-4
8	 	-9.300000E-1	-4.004280E-4	4.305677E-4
9	 	-9.200000E-1	-3.822109E-4	4.154466E-4
10	 	-9.100000E-1	-3.804869E-4	4.181175E-4
11	 	-9.000000E-1	-3.726507E-4	4.140563E-4
12	 	-8.900000E-1	-3.650564E-4	4.101757E-4
13	 	-8.800000E-1	-3.556840E-4	4.041864E-4
14	 	-8.700000E-1	-3.469900E-4	3.988391E-4
15	 	-8.600000E-1	-3.480020E-4	4.046535E-4
16	 	-8.500000E-1	-3.393534E-4	3.992393E-4
17	 	-8.400000E-1	-3.311574E-4	3.942350E-4
18	 	-8.300000E-1	-3.242703E-4	3.906871E-4
19	 	-8.200000E-1	-3.180111E-4	3.878184E-4
20	 	-8.100000E-1	-3.115548E-4	3.846356E-4
21	 	-8.000000E-1	-3.050992E-4	3.813740E-4
22	 	-7.900000E-1	-2.985470E-4	3.779076E-4
23	 	-7.800000E-1	-2.923460E-4	3.748026E-4
24	 	-7.700000E-1	-3.065178E-4	3.980751E-4
25	 	-7.600000E-1	-3.019236E-4	3.972679E-4
26	 	-7.500000E-1	-2.959110E-4	3.945480E-4
27	 	-7.400000E-1	-2.904888E-4	3.925524E-4
28	 	-7.300000E-1	-2.834764E-4	3.883238E-4
29	 	-7.200000E-1	-2.769578E-4	3.846636E-4
30	 	-7.100000E-1	-2.707944E-4	3.814006E-4
31	 	-7.000000E-1	-2.644599E-4	3.777999E-4
32	 	-6.900000E-1	-2.582926E-4	3.743371E-4
33	 	-6.800000E-1	-2.522090E-4	3.708956E-4
34	 	-6.700000E-1	-2.458494E-4	3.669394E-4
35	 	-6.600000E-1	-2.400379E-4	3.636938E-4
36	 	-6.500000E-1	-2.353221E-4	3.620340E-4
37	 	-6.400000E-1	-2.299792E-4	3.593425E-4
38	 	-6.300000E-1	-2.245985E-4	3.565056E-4
39	 	-6.200000E-1	-2.196744E-4	3.543135E-4
40	 	-6.100000E-1	-2.152599E-4	3.528851E-4
41	 	-6.000000E-1	-2.099544E-4	3.499240E-4
42	 	-5.900000E-1	-2.044484E-4	3.465227E-4
43	 	-5.800000E-1	-1.992896E-4	3.436028E-4
44	 	-5.700000E-1	-1.939716E-4	3.403011E-4
45	 	-5.600000E-1	-1.887374E-4	3.370311E-4
46	 	-5.500000E-1	-1.833778E-4	3.334142E-4
47	 	-5.400000E-1	-1.779929E-4	3.296165E-4
48	 	-5.300000E-1	-1.724701E-4	3.254153E-4
49	 	-5.200000E-1	-1.670767E-4	3.213013E-4
50	 	-5.100000E-1	-1.611898E-4	3.160584E-4
51	 	-5.000000E-1	-1.553447E-4	3.106894E-4
52	 	-4.900000E-1	-1.491859E-4	3.044610E-4
53	 	-4.800000E-1	-1.428135E-4	2.975281E-4
54	 	-4.700000E-1	-1.362572E-4	2.899089E-4
55	 	-4.600000E-1	-1.295168E-4	2.815583E-4
56	 	-4.500000E-1	-1.227011E-4	2.726691E-4
57	 	-4.400000E-1	-1.157347E-4	2.630334E-4
58	 	-4.300000E-1	-1.098310E-4	2.554209E-4
59	 	-4.200000E-1	-1.040696E-4	2.477848E-4
60	 	-4.100000E-1	-9.851750E-5	2.402866E-4
61	 	-4.000000E-1	-9.281052E-5	2.320263E-4
62	 	-3.900000E-1	-8.731690E-5	2.238895E-4
63	 	-3.800000E-1	-8.172287E-5	2.150602E-4
64	 	-3.700000E-1	-7.637987E-5	2.064321E-4
65	 	-3.600000E-1	-7.103685E-5	1.973246E-4
66	 	-3.500000E-1	-6.621682E-5	1.891909E-4
67	 	-3.400000E-1	-6.135504E-5	1.804560E-4
68	 	-3.300000E-1	-5.689069E-5	1.723960E-4
69	 	-3.200000E-1	-5.293265E-5	1.654145E-4
70	 	-3.100000E-1	-4.922562E-5	1.587923E-4
71	 	-3.000000E-1	-4.630938E-5	1.543646E-4
72	 	-2.900000E-1	-4.346422E-5	1.498766E-4
73	 	-2.800000E-1	-4.110442E-5	1.468015E-4
74	 	-2.700000E-1	-3.896640E-5	1.443200E-4
75	 	-2.600000E-1	-3.699989E-5	1.423073E-4
76	 	-2.500000E-1	-3.496228E-5	1.398491E-4
77	 	-2.400000E-1	-3.270712E-5	1.362797E-4
78	 	-2.300000E-1	-3.036407E-5	1.320177E-4
79	 	-2.200000E-1	-2.797498E-5	1.271590E-4
80	 	-2.100000E-1	-2.547295E-5	1.212998E-4
81	 	-2.000000E-1	-2.282865E-5	1.141433E-4
82	 	-1.900000E-1	-2.007977E-5	1.056830E-4
83	 	-1.800000E-1	-1.742291E-5	9.679394E-5
84	 	-1.700000E-1	-1.452757E-5	8.545629E-5
85	 	-1.600000E-1	-1.159457E-5	7.246606E-5
86	 	-1.500000E-1	-8.623922E-6	5.749281E-5
87	 	-1.400000E-1	-5.582149E-6	3.987249E-5
88	 	-1.300000E-1	-2.385564E-6	1.835049E-5
89	 	-1.200000E-1	7.983244E-7	-6.652703E-6
90	 	-1.100000E-1	4.082548E-6	-3.711407E-5
91	 	-1.000000E-1	7.421156E-6	-7.421156E-5
92	 	-9.000000E-2	1.066774E-5	-1.185304E-4
93	 	-8.000000E-2	1.409000E-5	-1.761250E-4
94	 	-7.000000E-2	1.749555E-5	-2.499364E-4
95	 	-6.000000E-2	2.080904E-5	-3.468173E-4
96	 	-5.000000E-2	2.434013E-5	-4.868026E-4
97	 	-4.000000E-2	2.772893E-5	-6.932233E-4
98	 	-3.000000E-2	3.118055E-5	-1.039352E-3
99	 	-2.000000E-2	3.466134E-5	-1.733067E-3
100	 	-1.000000E-2	3.795393E-5	-3.795393E-3
101	 	7.528700E-16	4.133439E-5	5.490243E+10
102	 	1.000000E-2	4.450982E-5	4.450982E-3
103	 	2.000000E-2	4.774802E-5	2.387401E-3
104	 	3.000000E-2	5.077281E-5	1.692427E-3
105	 	4.000000E-2	5.406536E-5	1.351634E-3
106	 	5.000000E-2	5.709035E-5	1.141807E-3
107	 	6.000000E-2	6.016534E-5	1.002756E-3
108	 	7.000000E-2	6.299351E-5	8.999073E-4
109	 	8.000000E-2	6.605597E-5	8.256996E-4
110	 	9.000000E-2	6.926068E-5	7.695631E-4
111	 	1.000000E-1	7.264955E-5	7.264955E-4
112	 	1.100000E-1	7.615554E-5	6.923231E-4
113	 	1.200000E-1	7.937285E-5	6.614404E-4
114	 	1.300000E-1	8.268217E-5	6.360167E-4
115	 	1.400000E-1	8.618383E-5	6.155988E-4
116	 	1.500000E-1	8.968558E-5	5.979039E-4
117	 	1.600000E-1	9.312458E-5	5.820286E-4
118	 	1.700000E-1	9.679378E-5	5.693752E-4
119	 	1.800000E-1	1.005047E-4	5.583594E-4
120	 	1.900000E-1	1.041655E-4	5.482395E-4
121	 	2.000000E-1	1.079644E-4	5.398220E-4
122	 	2.100000E-1	1.116502E-4	5.316676E-4
123	 	2.200000E-1	1.154113E-4	5.245968E-4
124	 	2.300000E-1	1.191724E-4	5.181409E-4
125	 	2.400000E-1	1.230132E-4	5.125550E-4
126	 	2.500000E-1	1.269165E-4	5.076660E-4
127	 	2.600000E-1	1.306859E-4	5.026381E-4
128	 	2.700000E-1	1.345687E-4	4.984026E-4
129	 	2.800000E-1	1.382712E-4	4.938257E-4
130	 	2.900000E-1	1.419862E-4	4.896076E-4
131	 	3.000000E-1	1.457808E-4	4.859360E-4
132	 	3.100000E-1	1.496048E-4	4.825961E-4
133	 	3.200000E-1	1.535542E-4	4.798569E-4
134	 	3.300000E-1	1.573196E-4	4.767261E-4
135	 	3.400000E-1	1.611937E-4	4.740991E-4
136	 	3.500000E-1	1.649382E-4	4.712520E-4
137	 	3.600000E-1	1.688291E-4	4.689697E-4
138	 	3.700000E-1	1.726572E-4	4.666411E-4
139	 	3.800000E-1	1.763430E-4	4.640605E-4
140	 	3.900000E-1	1.799702E-4	4.614621E-4
141	 	4.000000E-1	1.836143E-4	4.590357E-4
142	 	4.100000E-1	1.871998E-4	4.565849E-4
143	 	4.200000E-1	1.908100E-4	4.543095E-4
144	 	4.300000E-1	1.946010E-4	4.525605E-4
145	 	4.400000E-1	1.981316E-4	4.502991E-4
146	 	4.500000E-1	2.016963E-4	4.482140E-4
147	 	4.600000E-1	2.053364E-4	4.463835E-4
148	 	4.700000E-1	2.089675E-4	4.446117E-4
149	 	4.800000E-1	2.126324E-4	4.429842E-4
150	 	4.900000E-1	2.160549E-4	4.409284E-4
151	 	5.000000E-1	2.194855E-4	4.389710E-4
152	 	5.100000E-1	2.230627E-4	4.373778E-4
153	 	5.200000E-1	2.264976E-4	4.355723E-4
154	 	5.300000E-1	2.298527E-4	4.336843E-4
155	 	5.400000E-1	2.332707E-4	4.319828E-4
156	 	5.500000E-1	2.366599E-4	4.302907E-4
157	 	5.600000E-1	2.399939E-4	4.285605E-4
158	 	5.700000E-1	2.435082E-4	4.272074E-4
159	 	5.800000E-1	2.469221E-4	4.257278E-4
160	 	5.900000E-1	2.502275E-4	4.241144E-4
161	 	6.000000E-1	2.534613E-4	4.224355E-4
162	 	6.100000E-1	2.565825E-4	4.206270E-4
163	 	6.200000E-1	2.598202E-4	4.190648E-4
164	 	6.300000E-1	2.632008E-4	4.177790E-4
165	 	6.400000E-1	2.659664E-4	4.155725E-4
166	 	6.500000E-1	2.689201E-4	4.137232E-4
167	 	6.600000E-1	2.717148E-4	4.116891E-4
168	 	6.700000E-1	2.748945E-4	4.102903E-4
169	 	6.800000E-1	2.781284E-4	4.090124E-4
170	 	6.900000E-1	2.812455E-4	4.076022E-4
171	 	7.000000E-1	2.845340E-4	4.064771E-4
172	 	7.100000E-1	2.877220E-4	4.052423E-4
173	 	7.200000E-1	2.910438E-4	4.042275E-4
174	 	7.300000E-1	2.945450E-4	4.034863E-4
175	 	7.400000E-1	2.976165E-4	4.021845E-4
176	 	7.500000E-1	3.010302E-4	4.013736E-4
177	 	7.600000E-1	3.039209E-4	3.998959E-4
178	 	7.700000E-1	3.111548E-4	4.040971E-4
179	 	7.800000E-1	3.138029E-4	4.023114E-4
180	 	7.900000E-1	3.170455E-4	4.013234E-4
181	 	8.000000E-1	3.202168E-4	4.002710E-4
182	 	8.100000E-1	3.233631E-4	3.992137E-4
183	 	8.200000E-1	3.264208E-4	3.980741E-4
184	 	8.300000E-1	3.301280E-4	3.977446E-4
185	 	8.400000E-1	3.337428E-4	3.973129E-4
186	 	8.500000E-1	3.374958E-4	3.970539E-4
187	 	8.600000E-1	3.416662E-4	3.972863E-4
188	 	8.700000E-1	3.453900E-4	3.970000E-4
189	 	8.800000E-1	3.492974E-4	3.969289E-4
190	 	8.900000E-1	3.536359E-4	3.973437E-4
191	 	9.000000E-1	3.583260E-4	3.981400E-4
192	 	9.100000E-1	3.635181E-4	3.994704E-4
193	 	9.200000E-1	3.691576E-4	4.012583E-4
194	 	9.300000E-1	3.752661E-4	4.035119E-4
195	 	9.400000E-1	3.822903E-4	4.066918E-4
196	 	9.500000E-1	3.900719E-4	4.106020E-4
197	 	9.600000E-1	3.992768E-4	4.159133E-4
198	 	9.700000E-1	4.098993E-4	4.225766E-4
199	 	9.800000E-1	4.213121E-4	4.299103E-4
200	 	9.900000E-1	4.338166E-4	4.381986E-4
201	 	9.800000E-1	4.250609E-4	4.337356E-4
202	 	9.700000E-1	4.153378E-4	4.281833E-4
203	 	9.600000E-1	4.054100E-4	4.223021E-4
204	 	9.500000E-1	3.957491E-4	4.165780E-4
205	 	9.400000E-1	3.868840E-4	4.115787E-4
206	 	9.300000E-1	3.778932E-4	4.063368E-4
207	 	9.200000E-1	3.700069E-4	4.021814E-4
208	 	9.100000E-1	3.624801E-4	3.983298E-4
209	 	9.000000E-1	3.559833E-4	3.955370E-4
210	 	8.900000E-1	3.492139E-4	3.923752E-4
211	 	8.800000E-1	3.428292E-4	3.895786E-4
