Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-5.830083E-4	5.830083E-4
2	 	-9.900000E-1	-5.619001E-4	5.675759E-4
3	 	-9.800000E-1	-5.415955E-4	5.526485E-4
4	 	-9.700000E-1	-5.233827E-4	5.395698E-4
5	 	-9.600000E-1	-5.063621E-4	5.274605E-4
6	 	-9.500000E-1	-4.910527E-4	5.168976E-4
7	 	-9.400000E-1	-4.769025E-4	5.073431E-4
8	 	-9.300000E-1	-4.638862E-4	4.988024E-4
9	 	-9.200000E-1	-4.519073E-4	4.912036E-4
10	 	-9.100000E-1	-4.404225E-4	4.839808E-4
11	 	-9.000000E-1	-4.301549E-4	4.779499E-4
12	 	-8.900000E-1	-4.203352E-4	4.722867E-4
13	 	-8.800000E-1	-4.110012E-4	4.670468E-4
14	 	-8.700000E-1	-4.022482E-4	4.623543E-4
15	 	-8.600000E-1	-3.938212E-4	4.579316E-4
16	 	-8.500000E-1	-3.855244E-4	4.535581E-4
17	 	-8.400000E-1	-3.770229E-4	4.488368E-4
18	 	-8.300000E-1	-3.695801E-4	4.452772E-4
19	 	-8.200000E-1	-3.620939E-4	4.415779E-4
20	 	-8.100000E-1	-3.538939E-4	4.369060E-4
21	 	-8.000000E-1	-3.467686E-4	4.334608E-4
22	 	-7.900000E-1	-3.392500E-4	4.294304E-4
23	 	-7.800000E-1	-3.316522E-4	4.251951E-4
24	 	-7.700000E-1	-3.243631E-4	4.212508E-4
25	 	-7.600000E-1	-3.168367E-4	4.168904E-4
26	 	-7.500000E-1	-3.097567E-4	4.130089E-4
27	 	-7.400000E-1	-3.024894E-4	4.087695E-4
28	 	-7.300000E-1	-2.951553E-4	4.043223E-4
29	 	-7.200000E-1	-2.882725E-4	4.003785E-4
30	 	-7.100000E-1	-2.811096E-4	3.959290E-4
31	 	-7.000000E-1	-2.737834E-4	3.911191E-4
32	 	-6.900000E-1	-2.669173E-4	3.868367E-4
33	 	-6.800000E-1	-2.598380E-4	3.821147E-4
34	 	-6.700000E-1	-2.529809E-4	3.775834E-4
35	 	-6.600000E-1	-2.462028E-4	3.730345E-4
36	 	-6.500000E-1	-2.394915E-4	3.684485E-4
37	 	-6.400000E-1	-2.329307E-4	3.639542E-4
38	 	-6.300000E-1	-2.262448E-4	3.591187E-4
39	 	-6.200000E-1	-2.196513E-4	3.542763E-4
40	 	-6.100000E-1	-2.131660E-4	3.494525E-4
41	 	-6.000000E-1	-2.067770E-4	3.446283E-4
42	 	-5.900000E-1	-2.005384E-4	3.398956E-4
