Index	"SMU-1 Time (s)"	SMU-1 Voltage (V)	SMU-1 Current (A)	Resistance (Ohm)
1	 	-1.000000E+0	-5.008391E-4	5.008391E-4
2	 	-9.900000E-1	-4.867146E-4	4.916309E-4
3	 	-9.800000E-1	-4.738651E-4	4.835358E-4
4	 	-9.700000E-1	-4.618338E-4	4.761173E-4
5	 	-9.600000E-1	-4.506875E-4	4.694661E-4
6	 	-9.500000E-1	-4.390775E-4	4.621868E-4
7	 	-9.400000E-1	-4.287174E-4	4.560823E-4
8	 	-9.300000E-1	-4.186942E-4	4.502088E-4
9	 	-9.200000E-1	-4.087784E-4	4.443243E-4
10	 	-9.100000E-1	-3.990263E-4	4.384904E-4
11	 	-9.000000E-1	-3.900054E-4	4.333393E-4
12	 	-8.900000E-1	-3.807475E-4	4.278062E-4
13	 	-8.800000E-1	-3.720327E-4	4.227644E-4
14	 	-8.700000E-1	-3.631581E-4	4.174231E-4
15	 	-8.600000E-1	-3.553095E-4	4.131506E-4
16	 	-8.500000E-1	-3.467161E-4	4.079013E-4
17	 	-8.400000E-1	-3.387043E-4	4.032194E-4
18	 	-8.300000E-1	-3.305252E-4	3.982231E-4
19	 	-8.200000E-1	-3.228599E-4	3.937316E-4
20	 	-8.100000E-1	-3.155844E-4	3.896104E-4
21	 	-8.000000E-1	-3.076817E-4	3.846021E-4
22	 	-7.900000E-1	-3.003637E-4	3.802072E-4
23	 	-7.800000E-1	-2.933138E-4	3.760433E-4
24	 	-7.700000E-1	-2.859002E-4	3.712990E-4
25	 	-7.600000E-1	-2.789887E-4	3.670904E-4
26	 	-7.500000E-1	-2.719603E-4	3.626137E-4
27	 	-7.400000E-1	-2.651237E-4	3.582753E-4
28	 	-7.300000E-1	-2.582119E-4	3.537149E-4
29	 	-7.200000E-1	-2.512127E-4	3.489065E-4
30	 	-7.100000E-1	-2.440917E-4	3.437911E-4
31	 	-7.000000E-1	-2.370793E-4	3.386847E-4
32	 	-6.900000E-1	-2.298168E-4	3.330678E-4
33	 	-6.800000E-1	-2.226454E-4	3.274197E-4
34	 	-6.700000E-1	-2.153784E-4	3.214603E-4
35	 	-6.600000E-1	-2.082159E-4	3.154786E-4
36	 	-6.500000E-1	-2.011949E-4	3.095306E-4
37	 	-6.400000E-1	-1.941037E-4	3.032870E-4
38	 	-6.300000E-1	-1.871379E-4	2.970443E-4
39	 	-6.200000E-1	-1.801969E-4	2.906402E-4
40	 	-6.100000E-1	-1.735321E-4	2.844789E-4
41	 	-6.000000E-1	-1.668294E-4	2.780490E-4
42	 	-5.900000E-1	-1.601100E-4	2.713729E-4
43	 	-5.800000E-1	-1.534162E-4	2.645107E-4
44	 	-5.700000E-1	-1.470946E-4	2.580607E-4
45	 	-5.600000E-1	-1.406350E-4	2.511339E-4
46	 	-5.500000E-1	-1.346018E-4	2.447305E-4
47	 	-5.400000E-1	-1.283347E-4	2.376569E-4
48	 	-5.300000E-1	-1.223014E-4	2.307574E-4
49	 	-5.200000E-1	-1.162140E-4	2.234885E-4
50	 	-5.100000E-1	-1.100889E-4	2.158606E-4
51	 	-5.000000E-1	-1.041354E-4	2.082708E-4
52	 	-4.900000E-1	-9.847891E-5	2.009774E-4
53	 	-4.800000E-1	-9.291860E-5	1.935804E-4
54	 	-4.700000E-1	-8.742951E-5	1.860202E-4
55	 	-4.600000E-1	-8.183144E-5	1.778944E-4
56	 	-4.500000E-1	-7.635918E-5	1.696871E-4
57	 	-4.400000E-1	-7.088680E-5	1.611064E-4
58	 	-4.300000E-1	-6.539342E-5	1.520777E-4
59	 	-4.200000E-1	-5.944412E-5	1.415336E-4
60	 	-4.100000E-1	-5.333993E-5	1.300974E-4
61	 	-4.000000E-1	-4.713527E-5	1.178382E-4
62	 	-3.900000E-1	-4.067971E-5	1.043069E-4
63	 	-3.800000E-1	-3.421585E-5	9.004171E-5
64	 	-3.700000E-1	-2.800703E-5	7.569468E-5
65	 	-3.600000E-1	-2.166861E-5	6.019058E-5
66	 	-3.500000E-1	-1.504984E-5	4.299954E-5
67	 	-3.400000E-1	-8.154964E-6	2.398519E-5
68	 	-3.300000E-1	-1.218229E-6	3.691603E-6
69	 	-3.200000E-1	5.546493E-6	-1.733279E-5
70	 	-3.100000E-1	1.226101E-5	-3.955165E-5
71	 	-3.000000E-1	1.842327E-5	-6.141090E-5
